Information about barcoded specimens. Sample Ids starting with "cvb" derive from a preliminary study about army ant diets and are not considered in army ant-prey network analyses.																											
Sequence information and depository								Systematic classicfication									Life history information		Collection information								
BOLD Project Code	Process ID	Sample ID	BIN	COI Sequence Length	GenBank Accession	Image Count	Specimen Deposition	Phylum	Class	Order	Family	Subfamily	Genus	Species	Identifier	Identification Method	Life Stage	Associated Taxa	Collectors	Collection Date	Country	State/Province	Region	Exact Site	Event Time	Habitat	Collection Notes
APREY	APREY001-18	cvb523wola004	BOLD:AAC6409	658	MK208098	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	Pheidole	Pheidole simonsi	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	larva	Neivamyrmex sp. (prob. iridescens)	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	05-Apr-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:50	Tropical rainforest	collected during army ant emigration
APREY	APREY002-18	cvb488prey001	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	larva	Eciton hamatum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	02-Apr-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	18:00-22:00	Tropical rainforest	collected during army ant emigration
APREY	APREY003-18	cvb100prey001	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton lucanoides	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	20-Feb-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	22:00	Tropical rainforest	collected during army ant emigration
APREY	APREY004-18	cvb100prey002	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton lucanoides	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	20-Feb-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	22:00	Tropical rainforest	collected during army ant emigration
APREY	APREY005-18	cvb095prey001	BOLD:ACF1030	658	MK207910	no image	deposited at  Museo Gustavo Orcés (EPN, Quito, Ecuador) 	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Pachycondyla	Pachycondyla harpax	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton dulcium	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	18-Feb-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	20:00-3:00	Tropical rainforest	collected during army ant emigration
APREY	APREY006-18	cvb595prey001	BOLD:ABX2707	658	MK207586	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Formicinae	Camponotus	Camponotus JTL005	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	larva	Eciton dulcium	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	21-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	19:30-22:00	Tropical rainforest	collected during army ant emigration
APREY	APREY007-18	cvb010prey001	BOLD:AAB5129	658	MK207985	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	Pheidole	Pheidole dossena	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	larva	Eciton hamatum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	08-Feb-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	19:30	Tropical rainforest	collected during army ant emigration
APREY	APREY008-18	cvb010prey002	No BIN	no sequence	n.a.	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	not available	not available	not available	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	adult	Eciton hamatum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	08-Feb-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	19:30	Tropical rainforest	collected during army ant emigration
APREY	APREY009-18	cvb010prey003	BOLD:AAI4508	658	MK207990	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Myrmicinae	Pheidole	Pheidole fiorii	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	pupa	Eciton hamatum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	08-Feb-2013	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	19:30	Tropical rainforest	collected during army ant emigration
APREY	APREY010-18	cvb597unla001	BOLD:AAP3408	658	MK207741	no image	vouchered in private collection of cvb	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponerinae	Mayaponera	Mayaponera constricta	Philipp Hoenle and Christoph von Beeren	identified via DNA barcode	larva	Eciton mexicanum	Christoph von Beeren, Sebastian Pohl, Griffin Burke, and Daniel Kronauer	21-Mar-2014	Costa Rica	Heredia	Canton Sarapiqui	La Selva Biological Station	24:00-3:20	Tropical rainforest	collected during army ant emigration
